Type	Label
DATA	>UniRef50_F8L684 Uncharacterized protein n=1 Tax=Simkania negevensis (strain ATCC VR-1471 / DSM 27360 / Z) TaxID=331113 RepID=F8L684_SIMNZ
DATA	>UniRef50_UPI002A5568D5 hypothetical protein n=1 Tax=Cellulosispirillum alkaliphilum TaxID=3039283 RepID=UPI002A5568D5
DATA	>UniRef50_A0A381RNV7 Cytochrome c-type biogenesis protein CcmE n=3 Tax=marine metagenome TaxID=408172 RepID=A0A381RNV7_9ZZZZ
DATA	>UniRef50_A0A5P1FTS8 Transmembrane protein n=1 Tax=Asparagus officinalis TaxID=4686 RepID=A0A5P1FTS8_ASPOF
DATA	>UniRef50_A0A377I871 Uncharacterized protein n=3 Tax=Avibacterium paragallinarum TaxID=728 RepID=A0A377I871_AVIPA
DATA	>UniRef50_UPI0012626BF8 hypothetical protein n=1 Tax=Alkalilimnicola sp. S0819 TaxID=2613922 RepID=UPI0012626BF8
DATA	>UniRef50_D5UF13 Pseudouridine synthase n=110 Tax=Actinomycetes TaxID=1760 RepID=D5UF13_CELFN
DATA	>UniRef50_X1V0M5 Peptidase M20 dimerisation domain-containing protein (Fragment) n=1 Tax=marine sediment metagenome TaxID=412755 RepID=X1V0M5_9ZZZZ
DATA	>UniRef50_A0A1W9S2C1 Glycosyl transferase family 1 domain-containing protein n=1 Tax=Candidatus Coatesbacteria bacterium 4484_99 TaxID=1970774 RepID=A0A1W9S2C1_9BACT
DATA	>UniRef50_A0A2N3LR74 Flagellar biosynthesis protein FlhF n=46 Tax=Bacillaceae TaxID=186817 RepID=A0A2N3LR74_9BACI
DATA	>UniRef50_A0A067EIF0 Uncharacterized protein n=2 Tax=Citrus TaxID=2706 RepID=A0A067EIF0_CITSI
DATA	>UniRef50_A0A090RIC0 Peptidyl-prolyl cis-trans isomerase n=1 Tax=Photobacterium aphoticum TaxID=754436 RepID=A0A090RIC0_9GAMM
DATA	>UniRef50_A0A9K3NS82 40S ribosomal protein S24 n=7 Tax=Heliantheae alliance TaxID=911341 RepID=A0A9K3NS82_HELAN
DATA	>UniRef50_D2YD56 Putative flagella synthesis protein FlgN n=24 Tax=Vibrio TaxID=662 RepID=D2YD56_VIBMI
DATA	>UniRef50_Q6YUX2 Uncharacterized protein n=1 Tax=Oryza sativa subsp. japonica TaxID=39947 RepID=Q6YUX2_ORYSJ
DATA	>UniRef50_UPI00298ECC7B hypothetical protein n=1 Tax=Candidatus Acetatifactor stercoripullorum TaxID=2838414 RepID=UPI00298ECC7B
DATA	>UniRef50_A0A0X3V6M0 HTH cro/C1-type domain-containing protein n=61 Tax=Streptomyces TaxID=1883 RepID=A0A0X3V6M0_9ACTN
DATA	>UniRef50_A0AAE0GAI0 Uncharacterized protein n=1 Tax=Cymbomonas tetramitiformis TaxID=36881 RepID=A0AAE0GAI0_9CHLO
DATA	>UniRef50_UPI002B98DFDA DUF4256 domain-containing protein n=1 Tax=Flavobacterium sp. TaxID=239 RepID=UPI002B98DFDA
DATA	>UniRef50_A0ABP9N2R7 Excinuclease cho n=1 Tax=Orbus sasakiae TaxID=1078475 RepID=A0ABP9N2R7_9GAMM
DATA	>UniRef50_UPI00145EF0DB hypothetical protein n=1 Tax=Brasilonema sp. UFV-L1 TaxID=2234130 RepID=UPI00145EF0DB
DATA	>UniRef50_A0A6M3JML4 Putative exodeoxyribonuclease 8 PDDEXK-like domain-containing protein n=1 Tax=viral metagenome TaxID=1070528 RepID=A0A6M3JML4_9ZZZZ
DATA	>UniRef50_UPI00255646A3 hypothetical protein n=1 Tax=Lentzea sp. NBRC 102530 TaxID=3032201 RepID=UPI00255646A3
DATA	>UniRef50_A0AAN7UVG1 ZIC1-5/GLI1-3like C2H2 zinc finger domain-containing protein n=2 Tax=Sordariomycetes TaxID=147550 RepID=A0AAN7UVG1_9PEZI
DATA	>UniRef50_A0AAE1Y001 TOD1/MUCI70 glycosyltransferase-like domain-containing protein n=4 Tax=Mesangiospermae TaxID=1437183 RepID=A0AAE1Y001_9LAMI
DATA	>UniRef50_A0AAE3VBS8 Uncharacterized protein YjcR n=1 Tax=Moryella indoligenes TaxID=371674 RepID=A0AAE3VBS8_9FIRM
DATA	>UniRef50_A0ABN8S359 Collagen-like protein (Fragment) n=1 Tax=Porites evermanni TaxID=104178 RepID=A0ABN8S359_9CNID
DATA	>UniRef50_A0A0D3DKP0 Uncharacterized protein n=18 Tax=Brassica TaxID=3705 RepID=A0A0D3DKP0_BRAOL
DATA	>UniRef50_I0IAJ3 Uncharacterized protein n=2 Tax=Phycisphaera mikurensis TaxID=547188 RepID=I0IAJ3_PHYMF
DATA	>UniRef50_A0A7C4EVV8 Uncharacterized protein (Fragment) n=1 Tax=Desulfomonile tiedjei TaxID=2358 RepID=A0A7C4EVV8_9BACT
DATA	>UniRef50_A0A7S2W138 P-type ATPase C-terminal domain-containing protein (Fragment) n=1 Tax=Rhizochromulina marina TaxID=1034831 RepID=A0A7S2W138_9STRA
DATA	>UniRef50_A0AAE9JUW5 Uncharacterized protein n=1 Tax=Stenotrophomonas maltophilia phage vB_SmaM_Ps15 TaxID=3071007 RepID=A0AAE9JUW5_9CAUD
DATA	>UniRef50_UPI0021A8717C hypothetical protein n=17 Tax=Streptomyces TaxID=1883 RepID=UPI0021A8717C
DATA	>UniRef50_UPI001F5CF420 hypothetical protein n=1 Tax=Alicyclobacillus mali (ex Roth et al. 2021) TaxID=1123961 RepID=UPI001F5CF420
DATA	>UniRef50_A0A7J7DYP4 Uncharacterized protein n=1 Tax=Tripterygium wilfordii TaxID=458696 RepID=A0A7J7DYP4_TRIWF
DATA	>UniRef50_A0A820R3V2 Uncharacterized protein (Fragment) n=1 Tax=Adineta steineri TaxID=433720 RepID=A0A820R3V2_9BILA
DATA	>UniRef50_A0A6C0LSB6 Uncharacterized protein n=1 Tax=viral metagenome TaxID=1070528 RepID=A0A6C0LSB6_9ZZZZ
DATA	>UniRef50_A0A1G9G9W9 Catechol 2,3-dioxygenase n=285 Tax=Bacteria TaxID=2 RepID=A0A1G9G9W9_9HYPH
DATA	>UniRef50_UPI002E0F24D5 hypothetical protein n=1 Tax=Micromonospora ureilytica TaxID=709868 RepID=UPI002E0F24D5
DATA	>UniRef50_A0A834SP63 Uncharacterized protein n=1 Tax=Senna tora TaxID=362788 RepID=A0A834SP63_9FABA
DATA	>UniRef50_A0A7D5TDL1 DUF2182 domain-containing protein n=4 Tax=Haloarculaceae TaxID=1963268 RepID=A0A7D5TDL1_9EURY
DATA	>UniRef50_A0A4U5N5V7 Uncharacterized protein n=1 Tax=Steinernema carpocapsae TaxID=34508 RepID=A0A4U5N5V7_STECR
DATA	>UniRef50_A0ACC1QBV4 Uncharacterized protein n=2 Tax=Trametes sanguinea TaxID=158606 RepID=A0ACC1QBV4_9APHY
DATA	>UniRef50_A0A9W9RHN7 Uncharacterized protein n=1 Tax=Penicillium concentricum TaxID=293559 RepID=A0A9W9RHN7_9EURO
DATA	>UniRef50_UPI0010E4BF5D sulfate/molybdate ABC transporter ATP-binding protein n=1 Tax=Zhaonella formicivorans TaxID=2528593 RepID=UPI0010E4BF5D
DATA	>UniRef50_UPI0038D3C639 MerR family transcriptional regulator n=1 Tax=Kribbella solani TaxID=236067 RepID=UPI0038D3C639
DATA	>UniRef50_W4PJ75 SusC, outer membrane protein n=1 Tax=Bacteroides pyogenes DSM 20611 = JCM 6294 TaxID=1121100 RepID=W4PJ75_9BACE
DATA	>UniRef50_A0A915CU37 Uncharacterized protein n=1 Tax=Ditylenchus dipsaci TaxID=166011 RepID=A0A915CU37_9BILA
DATA	>UniRef50_A0A812S528 Uncharacterized protein (Fragment) n=1 Tax=Symbiodinium pilosum TaxID=2952 RepID=A0A812S528_SYMPI
DATA	>UniRef50_A0ABZ0IQD2 Outer membrane protein beta-barrel domain-containing protein n=6 Tax=Imperialibacter TaxID=1649461 RepID=A0ABZ0IQD2_9BACT
DATA	>UniRef50_A0A834Y6R9 Myb/SANT-like domain-containing protein n=3 Tax=Tetracentron sinense TaxID=13715 RepID=A0A834Y6R9_TETSI
DATA	>UniRef50_F0ELQ6 Heme-binding protein n=110 Tax=Lactobacillales TaxID=186826 RepID=F0ELQ6_ENTCA
DATA	>UniRef50_UPI00141B8C7A uncharacterized protein LOC117089702 isoform X1 n=3 Tax=Trachypithecus francoisi TaxID=54180 RepID=UPI00141B8C7A
DATA	>UniRef50_A0AAN8UL84 Uncharacterized protein n=1 Tax=Dillenia turbinata TaxID=194707 RepID=A0AAN8UL84_9MAGN
DATA	>UniRef50_A0A3L8T116 Uncharacterized protein n=1 Tax=Chloebia gouldiae TaxID=44316 RepID=A0A3L8T116_CHLGU
DATA	>UniRef50_UPI0035C6D927 hydantoinase/oxoprolinase N-terminal domain-containing protein n=3 Tax=Alphaproteobacteria TaxID=28211 RepID=UPI0035C6D927
DATA	>UniRef50_Q23W08 Small guanosine triphosphatase family Ras family protein n=2 Tax=Tetrahymena thermophila TaxID=5911 RepID=Q23W08_TETTS
DATA	>UniRef50_M9M3U8 Transposase and inactivated derivative n=1 Tax=Paenibacillus popilliae ATCC 14706 TaxID=1212764 RepID=M9M3U8_PAEPP
DATA	>UniRef50_A0A7S0B8Q5 Cdc23 domain-containing protein n=1 Tax=Pyrodinium bahamense TaxID=73915 RepID=A0A7S0B8Q5_9DINO
DATA	>UniRef50_UPI001F45C38E DUF4624 family lipoprotein n=1 Tax=Intestinibacillus massiliensis TaxID=1871029 RepID=UPI001F45C38E
DATA	>UniRef50_A0ABZ0CX03 PaaI family thioesterase n=19 Tax=Burkholderiales TaxID=80840 RepID=A0ABZ0CX03_9BURK
DATA	>UniRef50_A0A9D4MZ87 Uncharacterized protein n=1 Tax=Dreissena polymorpha TaxID=45954 RepID=A0A9D4MZ87_DREPO
DATA	>UniRef50_A0A166B3K5 Uncharacterized protein n=1 Tax=Exidia glandulosa HHB12029 TaxID=1314781 RepID=A0A166B3K5_EXIGL
DATA	>UniRef50_A0A820JGL3 Uncharacterized protein (Fragment) n=2 Tax=Adineta steineri TaxID=433720 RepID=A0A820JGL3_9BILA
DATA	>UniRef50_A0A7S3HCS8 Uncharacterized protein (Fragment) n=1 Tax=Spumella elongata TaxID=89044 RepID=A0A7S3HCS8_9STRA
DATA	>UniRef50_A0ABQ4CRH6 Uncharacterized protein n=2 Tax=Asanoa siamensis TaxID=926357 RepID=A0ABQ4CRH6_9ACTN
DATA	>UniRef50_UPI0035B38B44 hypothetical protein n=1 Tax=Hydrogenophaga sp. TaxID=1904254 RepID=UPI0035B38B44
DATA	>UniRef50_A0A660L7F0 Uncharacterized protein n=1 Tax=Solirubrobacter pauli TaxID=166793 RepID=A0A660L7F0_9ACTN
DATA	>UniRef50_A0A4P9WPR3 Uncharacterized protein n=1 Tax=Blyttiomyces helicus TaxID=388810 RepID=A0A4P9WPR3_9FUNG
DATA	>UniRef50_A0A5E4BHT8 Uncharacterized protein n=1 Tax=Marmota monax TaxID=9995 RepID=A0A5E4BHT8_MARMO
DATA	>UniRef50_A0A8R7Q845 Uncharacterized protein n=2 Tax=Triticum urartu TaxID=4572 RepID=A0A8R7Q845_TRIUA
DATA	>UniRef50_UPI0021CC2777 uncharacterized protein LOC127057263 n=1 Tax=Gopherus flavomarginatus TaxID=286002 RepID=UPI0021CC2777
DATA	>UniRef50_A0A9Q3ETC1 Chromo domain-containing protein n=4 Tax=Austropuccinia psidii MF-1 TaxID=1389203 RepID=A0A9Q3ETC1_9BASI
DATA	>UniRef50_A0A518ITQ2 Uncharacterized protein n=7 Tax=Planctomycetia TaxID=203683 RepID=A0A518ITQ2_9BACT
DATA	>UniRef50_A0ABW9A3A0 Uncharacterized protein n=1 Tax=Herbaspirillum lusitanum TaxID=213312 RepID=A0ABW9A3A0_9BURK
DATA	>UniRef50_U3KPL9 XLR/SYCP3/FAM9 domain-containing protein n=4 Tax=Oryctolagus cuniculus TaxID=9986 RepID=U3KPL9_RABIT
DATA	>UniRef50_UPI0013D47116 hypothetical protein n=1 Tax=Halorussus sp. MSC15.2 TaxID=2283638 RepID=UPI0013D47116
DATA	>UniRef50_UPI0038BA7A49 TetR/AcrR family transcriptional regulator n=2 Tax=Burkholderiaceae TaxID=119060 RepID=UPI0038BA7A49
DATA	>UniRef50_UPI0034E9834E DNA/RNA non-specific endonuclease n=1 Tax=Conchiformibius steedae TaxID=153493 RepID=UPI0034E9834E
DATA	>UniRef50_A0AB38BLP3 Uncharacterized protein n=4 Tax=Bacteria TaxID=2 RepID=A0AB38BLP3_9LACT
DATA	>UniRef50_A0A7Y0DVN5 Thioester dehydrase n=8 Tax=Pseudoalteromonas TaxID=53246 RepID=A0A7Y0DVN5_9GAMM
DATA	>UniRef50_A0A1G2HPD3 Uncharacterized protein n=1 Tax=Candidatus Staskawiczbacteria bacterium RIFCSPHIGHO2_01_FULL_39_25 TaxID=1802202 RepID=A0A1G2HPD3_9BACT
DATA	>UniRef50_UPI0015C37BDC 2OG-Fe oxygenase n=1 Tax=Lasiodiplodia theobromae TaxID=45133 RepID=UPI0015C37BDC
DATA	>UniRef50_UPI00112B347D hypothetical protein n=2 Tax=unclassified Mesorhizobium TaxID=325217 RepID=UPI00112B347D
DATA	>UniRef50_A0AB37URW4 AAA domain-containing protein n=43 Tax=Cyanophyceae TaxID=3028117 RepID=A0AB37URW4_9CYAN
DATA	>UniRef50_A0A1H5W0I1 Uncharacterized protein n=8 Tax=Thermomonosporaceae TaxID=2012 RepID=A0A1H5W0I1_9ACTN
DATA	>UniRef50_UPI000AB384EE chlorhexidine efflux transporter n=1 Tax=Haemophilus TaxID=724 RepID=UPI000AB384EE
DATA	>UniRef50_A0A7S3T0W0 Uncharacterized protein (Fragment) n=1 Tax=Strombidinopsis acuminata TaxID=141414 RepID=A0A7S3T0W0_9SPIT
DATA	>UniRef50_UPI0006E68149 hypothetical protein n=1 Tax=Variovorax paradoxus TaxID=34073 RepID=UPI0006E68149
DATA	>UniRef50_UPI002898B46C hypothetical protein n=1 Tax=Chryseobacterium sp. TaxID=1871047 RepID=UPI002898B46C
DATA	>UniRef50_UPI00397F25BB hypothetical protein n=1 Tax=Salmonella sp. s54925 TaxID=3159674 RepID=UPI00397F25BB
DATA	>UniRef50_A0A7S3WMY6 RRM domain-containing protein (Fragment) n=1 Tax=Emiliania huxleyi TaxID=2903 RepID=A0A7S3WMY6_EMIHU
DATA	>UniRef50_A0A6H5IPB8 Reverse transcriptase domain-containing protein n=2 Tax=Trichogramma TaxID=7490 RepID=A0A6H5IPB8_9HYME
DATA	>UniRef50_UPI001AEE96B1 hypothetical protein n=1 Tax=Mesorhizobium sp. M4B.F.Ca.ET.214.01.1.1 TaxID=2563955 RepID=UPI001AEE96B1
DATA	>UniRef50_A0A6G1LH97 BTB domain-containing protein n=2 Tax=Teratosphaeria TaxID=237584 RepID=A0A6G1LH97_9PEZI
DATA	>UniRef50_UPI0037907703 hypothetical protein n=1 Tax=Kitasatospora sp. NPDC050543 TaxID=3364054 RepID=UPI0037907703
DATA	>UniRef50_A0ABD0M5B2 Secreted protein n=1 Tax=Batillaria attramentaria TaxID=370345 RepID=A0ABD0M5B2_9CAEN
DATA	>UniRef50_UPI0005ED9ECD uncharacterized protein LOC105449469 n=1 Tax=Wasmannia auropunctata TaxID=64793 RepID=UPI0005ED9ECD
DATA	>UniRef50_A0A6J4JSN6 Uncharacterized protein (Fragment) n=1 Tax=uncultured Craurococcus sp. TaxID=1135998 RepID=A0A6J4JSN6_9PROT
DATA	>UniRef50_A0A7T3RF56 Class I mannose-6-phosphate isomerase n=7 Tax=Treponema TaxID=157 RepID=A0A7T3RF56_9SPIR
DATA	>UniRef50_I0JYR9 Nitrogen fixation protein n=65 Tax=Pseudomonadati TaxID=3379134 RepID=I0JYR9_METFB
DATA	>UniRef50_A0ABN2AJH5 Methyltransferase domain-containing protein n=3 Tax=Nocardioides humi TaxID=449461 RepID=A0ABN2AJH5_9ACTN
DATA	>UniRef50_A0A0D9YSH8 Uncharacterized protein n=1 Tax=Oryza glumipatula TaxID=40148 RepID=A0A0D9YSH8_9ORYZ
DATA	>UniRef50_A0A672K530 Phospholipase DDHD2-like n=2 Tax=Cyprininae TaxID=2743694 RepID=A0A672K530_SINGR
DATA	>UniRef50_UPI0013AB71E0 serine/threonine-protein kinase n=1 Tax=Streptomyces sp. SID5910 TaxID=2690312 RepID=UPI0013AB71E0
DATA	>UniRef50_A0A7W4Z9H1 Uncharacterized protein n=1 Tax=Microbulbifer rhizosphaerae TaxID=1562603 RepID=A0A7W4Z9H1_9GAMM
DATA	>UniRef50_UPI00307C980F glycoside hydrolase family 19 protein n=1 Tax=Rodentibacter pneumotropicus TaxID=758 RepID=UPI00307C980F
DATA	>UniRef50_UPI0019349B60 hypothetical protein n=3 Tax=unclassified Serratia (in: enterobacteria) TaxID=2647522 RepID=UPI0019349B60
DATA	>UniRef50_G4XTG5 Variant surface antigen (Fragment) n=7 Tax=Plasmodium chabaudi chabaudi TaxID=31271 RepID=G4XTG5_PLACU
DATA	>UniRef50_A0AAE0LIV7 Uncharacterized protein (Fragment) n=1 Tax=Cymbomonas tetramitiformis TaxID=36881 RepID=A0AAE0LIV7_9CHLO
DATA	>UniRef50_A0ABD5XVI9 Uncharacterized protein n=1 Tax=Halobaculum litoreum TaxID=3031998 RepID=A0ABD5XVI9_9EURY
DATA	>UniRef50_UPI00077A3D1B uncharacterized protein LOC107346153 n=1 Tax=Acropora digitifera TaxID=70779 RepID=UPI00077A3D1B
DATA	>UniRef50_UPI00234F334C uncharacterized protein LOC128551574 n=1 Tax=Mercenaria mercenaria TaxID=6596 RepID=UPI00234F334C
DATA	>UniRef50_A0A9W6JEC7 Bacterioferritin-associated ferredoxin n=1 Tax=Ancylobacter dichloromethanicus TaxID=518825 RepID=A0A9W6JEC7_9HYPH
DATA	>UniRef50_UPI003F953A31 HNH endonuclease n=1 Tax=Rhizobium johnstonii TaxID=3019933 RepID=UPI003F953A31
DATA	>UniRef50_A0A7S3LPD7 Vacuolar protein sorting-associated protein 13 DH-like domain-containing protein (Fragment) n=1 Tax=Aplanochytrium stocchinoi TaxID=215587 RepID=A0A7S3LPD7_9STRA
DATA	>UniRef50_UPI003AF16D0C GNAT family N-acetyltransferase n=1 Tax=Glutamicibacter endophyticus TaxID=1522174 RepID=UPI003AF16D0C
DATA	>UniRef50_UPI0009934ADE hypothetical protein n=1 Tax=Enterobacter kobei TaxID=208224 RepID=UPI0009934ADE
DATA	>UniRef50_A0ABT8KQN0 Crp/Fnr family transcriptional regulator n=1 Tax=Splendidivirga corallicola TaxID=3051826 RepID=A0ABT8KQN0_9BACT
DATA	>UniRef50_UPI00033D930F WXG100 family type VII secretion target n=1 Tax=Roseburia sp. AM59-24XD TaxID=2293138 RepID=UPI00033D930F
DATA	>UniRef50_A0AAD8RRS2 CCHC-type domain-containing protein n=2 Tax=Lolium multiflorum TaxID=4521 RepID=A0AAD8RRS2_LOLMU
DATA	>UniRef50_A0ABD5KZC6 Uncharacterized protein n=9 Tax=Priestia TaxID=2800373 RepID=A0ABD5KZC6_PRIAR
DATA	>UniRef50_UPI00036F61BB hypothetical protein n=1 Tax=Kribbella catacumbae TaxID=460086 RepID=UPI00036F61BB
DATA	>UniRef50_A0A7S1ZZR8 Alcohol-forming fatty acyl-CoA reductase (Fragment) n=2 Tax=Eupodiscales TaxID=33838 RepID=A0A7S1ZZR8_TRICV
DATA	>UniRef50_A0A1A9VAV1 Uncharacterized protein n=1 Tax=Glossina austeni TaxID=7395 RepID=A0A1A9VAV1_GLOAU
DATA	>UniRef50_A0A0A1UAN6 Uncharacterized protein n=1 Tax=Entamoeba invadens IP1 TaxID=370355 RepID=A0A0A1UAN6_ENTIV
DATA	>UniRef50_UPI003C2B1EF2 hypothetical protein n=1 Tax=Pseudomonas solani TaxID=2731552 RepID=UPI003C2B1EF2
DATA	>UniRef50_A0AA36GIS2 Uncharacterized protein n=1 Tax=Cylicocyclus nassatus TaxID=53992 RepID=A0AA36GIS2_CYLNA
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_0
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_1
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_2
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_3
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_4
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_5
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_6
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_7
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_8
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_9
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_10
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_11
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_12
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_13
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_14
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_15
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_16
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_17
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_18
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_19
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_20
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_21
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_22
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_23
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_24
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_25
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_26
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_27
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_28
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_29
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_30
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_31
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_32
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_33
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_34
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_35
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_36
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_37
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_38
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_39
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_40
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_41
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_42
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_43
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_44
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_45
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_46
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_47
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_48
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_49
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_50
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_51
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_52
